family,mechanism,technique,target_gate,transfer_to_ARGOS,input_requirements,source_candidate,pit_gate,provenance_gate,cost_gate,coverage_gate,semantic_gate,temporal_granularity_gate,sample_complexity_gate,redundancy_group,interpretability_gate,leakage_risk,computational_auditability,hyperparameter_dependency,ablation_compatible,time_feasibility,final_status,role_recommendation,justification,next_step
Market microstructure,Signed pressure,Signed notional imbalance,H2,Directional flow anomaly,"Trade timestamp, market/token, authoritative aggressor side, notional, event mapping",DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_IF_TIMESTAMPED_ONCHAIN,CONDITIONAL_ART028,PASS_R0,UNKNOWN_UNTIL_ART028,BLOCKED_UNTIL_AGGRESSOR_SIGN_VALIDATED,PASS_IF_TRADE_LEVEL,PASS_IF_EVENT_COVERAGE_SUFFICIENT,FLOW_DIRECTION,PASS,LOW_AFTER_FIXED_WINDOWS,HIGH,LOW,YES,HIGH_IF_DAT003_EXPORTABLE,CONDITIONAL,CORE_CANDIDATE,"Directly measures directional flow, but DAT-003 is only partially used/candidate and the authoritative side semantics must be proven before use.",ART-028: reconstruct trade tape and validate aggressor sign against authoritative on-chain fields.
Market microstructure,Adverse selection,OFI normalized by depth,H2,Flow impact conditional on liquidity,"Historical L2 book events, bid/ask depth, order additions/cancels/trades, synchronized timestamps",Historical Polymarket L2/depth/spread series not currently approved,POSSIBLE_IN_PRINCIPLE,FAIL_CURRENT_DATA,PASS_R0,NO_APPROVED_HISTORICAL_L2,FAIL_CURRENT_DATA,FAIL_CURRENT_DATA,UNKNOWN,FLOW_LIQUIDITY,PASS,MEDIUM,MEDIUM,MEDIUM,YES,LOW,NO_GO_DATA,DEFER,Current provenance explicitly warns last trade is not spread/depth/midpoint history; no approved historical L2 panel exists.,Do not include in ART-029 unless ART-028 discovers a reproducible historical L2 source with sufficient coverage.
Market microstructure,Trade-size information,Large-trade share,H2,Size-conditioned information arrival,"Trade timestamp, notional/size, event mapping; threshold defined from prior data only",DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_IF_TRADE_LEVEL,CONDITIONAL_ART028,PASS_R0,UNKNOWN_UNTIL_ART028,PASS_IF_SIZE_UNITS_VALIDATED,PASS_IF_TRADE_LEVEL,PASS_WITH_SIMPLE_QUANTILE_RULE,TRADE_SIZE,PASS,MEDIUM_THRESHOLD_SELECTION,HIGH,LOW_IF_PRIOR_QUANTILE_FROZEN,YES,HIGH_IF_DAT003_EXPORTABLE,CONDITIONAL,CORE_CANDIDATE,Size is naturally available from trades if DAT-003 can be reconstructed population-wide; threshold selection must be prequential.,ART-028: audit size units/coverage; ART-029: freeze prior-only large-trade threshold.
Market microstructure,Participant concentration,HHI and top-k notional share,H2,Concentration as movement context,"Pseudonymous participant identifier, trade notional, timestamp, event mapping",DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_IF_PARTICIPANT_ID_STABLE,CONDITIONAL_ART028,PASS_R0,UNKNOWN_UNTIL_ART028,CONDITIONAL_ADDRESS_ENTITY_LIMITATION,PASS_IF_TRADE_LEVEL,PASS_SIMPLE_SUMMARIES,PARTICIPANT_CONCENTRATION,PASS,LOW,HIGH,LOW,YES,HIGH_IF_DAT003_EXPORTABLE,CONDITIONAL,CORE_CANDIDATE,Concentration is aligned with ART-027 as context of movement; wallet/address is pseudonymous and may not equal economic entity.,ART-028: measure participant-ID stability and coverage; freeze HHI/top-k definitions.
Market microstructure,Order splitting,Run length and signed-flow persistence,H2,Persistent informed-like execution pattern,Chronologically ordered authoritative signed trades and timestamps,DAT-003 Polymarket trades/on-chain pseudonymous data; population audit pending ART-028,PASS_IF_TRADE_LEVEL,CONDITIONAL_ART028,PASS_R0,UNKNOWN_UNTIL_ART028,BLOCKED_UNTIL_AGGRESSOR_SIGN_VALIDATED,PASS_IF_DENSE_ENOUGH,PASS_FOR_SIMPLE_RUN_METRICS,FLOW_PERSISTENCE,PASS,LOW,HIGH,LOW,YES,HIGH_IF_DAT003_EXPORTABLE,CONDITIONAL,CORE_CANDIDATE,Simple persistence metrics are interpretable and low-dimensional but require a validated signed tape.,ART-028: compute per-event trade counts and signed-run coverage before promotion.
Market making,Adverse-selection filter,Spread/depth state conditioning,H2,Separate flow from thin-liquidity mechanics,Historical bid/ask spread and depth at each signal timestamp,Historical Polymarket L2/depth/spread series not currently approved,POSSIBLE_IN_PRINCIPLE,FAIL_CURRENT_DATA,PASS_R0,NO_APPROVED_HISTORICAL_L2,FAIL_CURRENT_DATA,FAIL_CURRENT_DATA,UNKNOWN,LIQUIDITY_STATE,PASS,LOW_IF_AVAILABLE,MEDIUM,LOW,YES,LOW,NO_GO_DATA,DEFER,Current data inventory does not contain approved historical spread/depth; last trade cannot substitute for these states.,Only reopen if ART-028 establishes reproducible historical L2 coverage.
Market making,No-trade region,Inventory-style decision band,H5,Formal abstention region,"Validated H4 expected abnormal return, uncertainty estimate, cost model",H4 outputs + existing fixed-cost framework from ART-023/025,PASS_AFTER_H4,PASS_METHOD,PASS_R0,DEPENDENT_ON_H4,PASS_AS_ABSTENTION_NOT_LITERAL_INVENTORY,PASS_EVENT_LEVEL,PASS_SIMPLE_BAND,ABSTENTION,PASS,HIGH_IF_THRESHOLD_TUNED_ON_TEST,HIGH,LOW_IF_THRESHOLD_FROZEN_TRAIN_ONLY,YES,HIGH_AFTER_H4,GO_CORE_CANDIDATE,CORE_H5,A no-trade decision band is directly compatible with the frozen long/short/no-trade architecture; should not be described as inventory management unless inventory is modeled.,Pre-register utility/confidence band only after H4 passes.
Market making,Execution separation,Implementation shortfall,H5,Separate alpha from execution,"Decision timestamp, executable bid/ask or intraday transaction prices, order size/ADV, benchmark price",Current equity panel has daily OHLCV but no approved intraday execution/spread history,POSSIBLE,PARTIAL,PASS_R0,FAIL_FOR_TRUE_SHORTFALL,FAIL_CURRENT_DATA_FOR_EXECUTION_PRICE,FAIL_DAILY_ONLY,PASS,EXECUTION_COST,PASS,LOW,HIGH_IF_DATA,LOW,YES,LOW,NO_GO_DATA,DEFER,True implementation shortfall cannot be identified from daily OHLCV/fixed bps alone.,Keep frozen fixed-cost/slippage sensitivity; do not label it implementation shortfall.
Momentum,Persistence,Multi-horizon sign consistency,H2,Trajectory continuation feature,PIT PM probabilities at multiple pre-event horizons per event,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS,PASS_DAT002,PASS_R0,57_COMPLETE_CASE_ALL_4; 104/111/113_PARTIAL,PASS,PASS_COARSE_HORIZONS,PASS_SIMPLE,PRICE_TRAJECTORY,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CORE_CANDIDATE,CORE_CANDIDATE,Existing PIT snapshots support a coarse trajectory feature without new data though complete-case all-four-horizon coverage is 57.,Define sign-consistency variants before outcomes; prefer T-3/T-1 compatible form to preserve coverage.
Momentum,Trend strength,Velocity and acceleration,H2,Probability trajectory dynamics,PIT PM probabilities and exact time gaps,DAT-002 CLOB price history + ART-004/005 safe cutoffs,PASS,PASS_DAT002,PASS_R0,PARTIAL_BY_HORIZON; 57_ALL_4,PASS,PASS_COARSE; NOT_INTRADAY,PASS_SIMPLE,PRICE_TRAJECTORY,PASS,LOW,HIGH,LOW,YES,HIGH,GO_CORE_CANDIDATE,CORE_CANDIDATE,Velocity is directly computable from available snapshots; acceleration requires at least three points and thus lower coverage.,Freeze velocity as primary; acceleration only if pre-outcome coverage gate is met.
