feature_id,architecture_family,role,primary_column,minimum_event_coverage,definition,materialized_event_count,coverage_status
F01,H2_RESIDUAL_STATE,CORE,conditional_z_move_6h,80,"Prequential ridge residual of 6h probability change on [p(-6h), log1p(market_age_h), prior hourly robust scale], standardized by prior-event residual MAD; >=20 prior complete events.",88,PASS_COVERAGE
F02,H2_TRAJECTORY,CORE,velocity_6h_per_hour,110,(p(cutoff)-p(cutoff-6h))/6 using last observation at or before each target with <=30m staleness; acceleration is 1h slope minus 6h slope.,115,PASS_COVERAGE
F03,H2_STATE_NORMALIZATION,CORE,vol_scaled_delta_6h,105,"6h probability change divided by robust hourly scale from [-30h,-6h] times sqrt(6); scale is 1.4826*MAD with SD fallback.",108,PASS_COVERAGE
F04,H2_FLOW,CORE,signed_notional_imbalance_24h,95,"Trailing-24h event-oriented signed collateral notional / total collateral notional; BUY YES & SELL NO positive, SELL YES & BUY NO negative; >=5 trades.",103,PASS_COVERAGE
F05,H2_CONCENTRATION,CORE,wallet_hhi_notional_24h,95,Trailing-24h HHI of collateral notional by proxyWallet; >=5 trades and >=2 wallets; address-level concentration only.,103,PASS_COVERAGE
F06,H2_FLOW_PERSISTENCE,CORE,same_direction_transition_share_lifecycle,105,Full pre-cutoff market-lifecycle share of adjacent event-oriented trade directions that are equal; >=10 trades. This replaces the initial trailing-24h representation after label-free coverage review; the 24h statistic remains diagnostic.,111,PASS_COVERAGE
F07,H2_REGIME_CHANGE,CORE,jump_score_6h,100,"Maximum absolute hourly probability change in last 6h divided by robust hourly scale from [-30h,-6h].",108,PASS_COVERAGE
F08,H2_FLOW_SIZE,CHALLENGER,large_trade_notional_share_24h,70,Trailing-24h notional share above q90 collateral-notional threshold estimated only from all earlier events; >=200 prior trades and >=5 current-window trades.,100,PASS_COVERAGE
F09,H2_SEQUENTIAL_EVIDENCE,CHALLENGER,cusum_score_6h,100,"Max absolute cumulative standardized hourly change over last 6h, using median/robust scale from [-30h,-6h], divided by sqrt(n).",108,PASS_COVERAGE
F10,H2_PATTERN_NOVELTY,CHALLENGER,matrix_profile_discord_6h,80,Minimum z-normalized Euclidean distance of latest six hourly changes to earlier 6h subsequences in the available <=72h pre-cutoff path; >=4 comparison windows.,107,PASS_COVERAGE
F11,H2_SEQUENTIAL_EVIDENCE,CHALLENGER,conformal_log_martingale_6h,100,"Maximum cumulative log conformal betting evidence across last six absolute hourly changes versus prior [-30h,-6h] changes; epsilon fixed at 0.5.",112,PASS_COVERAGE
F12,H2_MULTIVARIATE_ANOMALY,CHALLENGER,multivariate_anomaly_distance,70,Prequential robust Euclidean distance across complete core movement components standardized using earlier events only; >=20 prior complete events.,74,PASS_COVERAGE
F13,H2_TRAJECTORY,ROBUSTNESS,sign_consistency_1_6_24h,100,"Absolute mean sign across 1h, 6h and 24h probability changes; sign-only robustness.",113,PASS_COVERAGE
F14,H2_PRICE_DYNAMICS,CONDITIONAL,post_jump_half_life_hours,40,"Half-life after fixed >=3 robust-scale hourly jump in last 24h with >=3h remaining before cutoff; baseline scale from [-72h,-24h].",33,FAIL_COVERAGE
M01,H2_MODEL_POOLING,MODEL_LEVEL,,0,Online weighted ensemble is not label-free materializable; expert set/update rule may only be frozen in ART-029 after feature-universe freeze.,0,PROTOCOL_ONLY_NOT_LABEL_FREE_MATERIALIZABLE
M02,H2_FORECAST_DISAGREEMENT,MODEL_LEVEL,,0,Dispersion across simple forecasters is model-output dependent and remains protocol-only in ART-028.,0,PROTOCOL_ONLY_NOT_LABEL_FREE_MATERIALIZABLE
R01,H2_CALIBRATION,MODEL_LEVEL_ROBUSTNESS,,0,Calibration requires prior resolved labels; it remains an ART-029/030 robustness rule.,0,PROTOCOL_ONLY_NOT_LABEL_FREE_MATERIALIZABLE
R02,H2_DRIFT,ROBUSTNESS,prequential_feature_distance,70,Prequential robust distance of current complete core-feature vector from earlier-event distribution; drift/coverage monitor only.,74,PASS_COVERAGE
