source_name,source_url,source_type,authority,freshness,independence,proximity,terms_status,default_source_score,notes
Official startup website,per_startup_url,official_site,0.90,0.70,0.40,1.00,per_source_check_required,0.78,Per-startup URL resolved at collection time.
Official startup blog,per_startup_blog_url,official_blog,0.85,0.80,0.45,0.95,per_source_check_required,0.78,Use for technical/product claims.
Startup careers page,per_startup_careers_url,careers,0.75,0.85,0.35,0.90,per_source_check_required,0.70,Useful for stack and hiring signals.
NVIDIA documentation,https://docs.nvidia.com,nvidia_official,1.00,0.90,0.55,1.00,compatible,0.89,Use for NVIDIA technology mapping.
NVIDIA Inception,https://www.nvidia.com/en-us/startups/,nvidia_official,1.00,0.85,0.60,1.00,compatible,0.88,Use for program fit.
StartSe,https://www.startse.com,directory,0.70,0.70,0.75,0.60,review_required,0.68,Ecosystem directory/news source.
Distrito,https://distrito.me,directory,0.70,0.70,0.70,0.60,review_required,0.68,Use for directory evidence if terms permit.
Latitud,https://www.latitud.com,directory,0.68,0.72,0.70,0.60,review_required,0.67,Startup ecosystem source.
Cubo Itau,https://cubo.network,directory,0.74,0.70,0.72,0.60,review_required,0.70,Community/startup ecosystem source.
ACE Startups,https://acestartups.com.br,directory,0.74,0.70,0.72,0.60,review_required,0.70,Accelerator source.
Endeavor Brasil,https://endeavor.org.br,directory,0.78,0.70,0.74,0.60,review_required,0.72,Founder/company evidence.
Abstartups,https://abstartups.com.br,directory,0.76,0.70,0.70,0.60,review_required,0.70,Association source.
Bossa Invest,https://bossainvest.com,directory,0.72,0.68,0.70,0.60,review_required,0.68,Investment portfolio source.
Anjos do Brasil,https://www.anjosdobrasil.net,directory,0.70,0.68,0.68,0.60,review_required,0.66,Investment ecosystem source.
Darwin Startups,https://darwinstartups.com,directory,0.72,0.70,0.70,0.60,review_required,0.68,Accelerator source.
Liga Ventures,https://liga.ventures,directory,0.72,0.70,0.70,0.60,review_required,0.68,Corporate innovation source.
WOW Aceleradora,https://www.wow.ac,directory,0.70,0.68,0.68,0.60,review_required,0.66,Accelerator source.
InovAtiva Brasil,https://www.inovativabrasil.com.br,directory,0.76,0.70,0.70,0.60,review_required,0.70,Public acceleration program.
100 Open Startups,https://www.openstartups.net,directory,0.78,0.72,0.74,0.60,review_required,0.72,Ranking/open innovation source.
Brazil Journal,https://braziljournal.com,news,0.75,0.80,0.80,0.55,review_required,0.73,Use for external corroboration.
NeoFeed,https://neofeed.com.br,news,0.75,0.80,0.80,0.55,review_required,0.73,Use for business/funding corroboration.
Exame Startups,https://exame.com/pme/startups,news,0.74,0.78,0.80,0.55,review_required,0.72,Use for startup reporting.
Startups.com.br,https://startups.com.br,news,0.75,0.80,0.80,0.60,review_required,0.74,Use for startup ecosystem reporting.
PEGN,https://revistapegn.globo.com,news,0.72,0.76,0.78,0.55,review_required,0.70,Use for public business claims.
Valor Economico,https://valor.globo.com,news,0.80,0.78,0.82,0.50,review_required,0.74,Respect paywall and quote limits.
Meio & Mensagem,https://www.meioemensagem.com.br,news,0.72,0.76,0.78,0.55,review_required,0.70,Use for market evidence.
Mobile Time,https://www.mobiletime.com.br,news,0.72,0.76,0.78,0.55,review_required,0.70,Use for tech/business evidence.
