family,dimension,anchor,ecg,rationale,primary_source_ids,corroborating_source_ids,evidence_scope,adjudication_note
EARNINGS_EPS,PAC,4,A,"A bounded issuer insider group can possess material quarterly earnings information before public dissemination; Regulation FD and enforcement evidence directly establish the restricted-information mechanism.",SEC_REG_FD;SEC_RAYTHEON_FD,SSRN_EARNINGS_PM,same-family,"Structural access only; no allegation about any specific ARGOS event."
EARNINGS_EPS,LSO,3,B,"Quarterly results are internally assembled before announcement, but substantial business and market information is public beforehand, so opacity is material rather than near-total.",SEC_REG_FD,SEC_RAYTHEON_FD,same-family-process,"Conservative midpoint between mostly public and predominantly private state."
EARNINGS_EPS,SIB,2,B,"Professional earnings forecasting uses standard financial analysis and analyst information; original research documents a mature forecasting apparatus rather than a narrow specialist-only barrier.",NBER_ANALYST_NOISE,SEC_REG_FD,same-family-research,"Professional expertise is relevant but not narrowly scientific or legal."
EARNINGS_EPS,TAW,3,B,"Material internal earnings information can exist before announcement over a multi-day reporting and disclosure cycle, but a month-plus decisive-information window is not established consistently across firms.",SEC_REG_FD;SEC_RAYTHEON_FD,,same-family-process,"Scored 1-7 day band conservatively."
EARNINGS_EPS,PSI,1,B,"Public analyst forecasts and a separate prediction-market forecasting channel create dense standardized pre-event expectations, although idiosyncratic uncertainty remains.",NBER_ANALYST_NOISE;SSRN_EARNINGS_PM,,same-family-multiple-channels,"Two distinct public forecasting channels documented."
FDA_ADVISORY_COMMITTEE,PAC,3,A,"FDA staff, committee members and sponsor participants receive and review case-specific scientific materials before the open meeting, creating a bounded multi-party earlier-access set.",FDA_ADCOMM_OVERVIEW;FDA_ADCOMM_QA,,same-family-process,"Does not imply improper use of information."
FDA_ADVISORY_COMMITTEE,LSO,3,A,"Material review state is developed through nonpublic scientific review before public briefing materials and the open meeting, but substantial materials become public shortly before the meeting.",FDA_ADCOMM_QA,FDA_ADCOMM_OVERVIEW,same-family-process,"Public briefing release prevents a 4-5 opacity anchor."
FDA_ADVISORY_COMMITTEE,SIB,5,A,"Committee review is explicitly scientific and technical and relies on specialist expertise applied to case-specific evidence.",FDA_ADCOMM_OVERVIEW;FDA_ADCOMM_QA,,same-family-process,"Exact high-specialization anchor."
FDA_ADVISORY_COMMITTEE,TAW,3,B,"Committee participants can review case materials before the public meeting; public briefing materials are generally released shortly before the meeting, bounding the strongest asymmetry window to days rather than months.",FDA_ADCOMM_QA,,same-family-process,"Conservative 1-7 day band."
FDA_ADVISORY_COMMITTEE,PSI,3,B,"Public coverage and external scientific analysis exist, but standardized forecasting is less dense and less uniform than earnings or scheduled monetary-policy decisions.",FDA_ADCOMM_OVERVIEW;FDA_ADCOMM_QA,,same-family-process,"Moderate/fragmented public forecasting assigned conservatively."
FDA_FINAL_PDUFA_DECISION,PAC,4,A,"The applicant and FDA review team participate directly in the case-specific review and formal communication process before the final public outcome, creating a small bounded set with earlier material state information.",FDA_DRUG_REVIEW;FDA_CRL_RULE,,same-family-process,"No claim that the final decision is known far in advance."
FDA_FINAL_PDUFA_DECISION,LSO,5,A,"The decisive regulatory state is generated inside a case-specific FDA review and remains fundamentally nonpublic until an approval action or complete-response communication is made.",FDA_DRUG_REVIEW;FDA_CRL_RULE,,same-family-process,"Discrete regulatory reveal closely matches anchor 5."
FDA_FINAL_PDUFA_DECISION,SIB,5,A,"Drug review combines medical, statistical, chemical and regulatory expertise and case-specific evidentiary interpretation.",FDA_DRUG_REVIEW,,same-family-process,"Direct official description of multidisciplinary specialist review."
FDA_FINAL_PDUFA_DECISION,TAW,3,B,"Material unequal information can plausibly exist during late-stage review and sponsor communications for days, but the evidence does not establish a consistent month-plus near-decisive window.",FDA_DRUG_REVIEW;FDA_CRL_RULE,,same-family-process,"Conservative 1-7 day anchor."
