startup_name,country_code,sector,stage,source,website_url,github_url,source_url,description,signals
NeuralMind,BR,developer_tools,growth,curated_csv,https://neuralmind.ai,,https://neuralmind.ai,"Empresa brasileira de IA focada em documentos, NLP, modelos de linguagem, busca semântica e automação de workflows corporativos.",Brasil;IA generativa;NLP;LLM;IA documental;workflow
Nama,BR,customer_service,growth,curated_csv,https://nama.ai,,https://nama.ai,"Plataforma brasileira de atendimento digital com automação conversacional, chatbots, NLP e operações de suporte em produção.",Brasil;chatbot;agentes de voz;NLP;atendimento ao cliente;IA em produção
Datarisk,BR,data,growth,curated_csv,https://www.datarisk.io,,https://www.datarisk.io,"Empresa brasileira de dados e machine learning para risco, crédito, analytics, modelos preditivos, dados tabulares e operações de MLOps.",Brasil;machine learning;dados tabulares;analytics;MLOps;modelos de risco
Cortex,BR,data,growth,curated_csv,https://www.cortex-intelligence.com,,https://www.cortex-intelligence.com,"Empresa brasileira de inteligência de dados com analytics, automação comercial, enriquecimento de dados e modelos de decisão.",Brasil;inteligência de dados;analytics;machine learning;pipeline;grandes volumes de dados
idwall,BR,cybersecurity,growth,curated_csv,https://www.idwall.co,,https://www.idwall.co,"Empresa brasileira de identidade, KYC, antifraude, validação documental, biometria e automação de compliance.",Brasil;detecção de fraude;identidade;visão computacional;segurança;governança
unico,BR,cybersecurity,growth,curated_csv,https://unico.io,,https://unico.io,"Empresa brasileira de identidade e biometria facial focada em segurança, prevenção a fraudes e jornadas digitais com visão computacional.",Brasil;biometria;visão computacional;fraude;segurança;inferência em tempo real
Loggi,BR,logistics,growth,curated_csv,https://www.loggi.com,,https://www.loggi.com,"Empresa brasileira de logística com otimização de rotas, operações em escala, dados geoespaciais, scheduling e previsão de demanda.",Brasil;logística;rotas;otimização;scheduling;operações
Frete.com,BR,logistics,growth,curated_csv,https://www.frete.com,,https://www.frete.com,"Freight tech brasileira de logística com matching de cargas, roteirização, precificação, dados operacionais e otimização.",Brasil;logística;otimização;rotas;analytics;operações
Phelcom,BR,healthcare,growth,curated_csv,https://phelcom.com,,https://phelcom.com,"Healthtech brasileira com dispositivos médicos, oftalmologia, imagens, análise clínica, telemedicina e sinais de IA em saúde.",Brasil;saúde;imagens médicas;visão computacional;IA clínica;IA na borda
Laura,BR,healthcare,growth,curated_csv,https://laura-br.com,,https://laura-br.com,"Healthtech brasileira para gestão clínica e alertas inteligentes, focada em risco hospitalar, workflow, dados de saúde e sistemas em produção.",Brasil;saúde;IA clínica;workflow;governança;predição de risco
Aquarela Analytics,BR,data,growth,curated_csv,https://www.aquare.la,,https://www.aquare.la,"Empresa brasileira de analytics e inteligência artificial para dados corporativos, ciência de dados, previsão e automação de decisões.",Brasil;analytics;machine learning;dados tabulares;previsão;pipeline
DataH,BR,data,seed,curated_csv,https://datah.ai,,https://datah.ai,"Startup brasileira de dados e IA generativa para transformar informações corporativas em assistentes, insights e automações.",Brasil;IA generativa;LLM;analytics;RAG;agentes de IA
BotCity,BR,developer_tools,series_a,curated_csv,https://botcity.dev,https://github.com/botcity-dev,https://botcity.dev,"Startup brasileira de automação e RPA para bots em Python, orquestração de workflows e operação de agentes em produção.",Brasil;automação;workflow;agentes de IA;Python;IA em produção
Vixtra,BR,fintech,,discovered_startupi,,,https://startupi.com.br/vixtra-levanta-r-50-milhoes-em-serie-a/,Vixtra levanta R$ 50 milhões em Série A para expandir infraestrutura financeira voltada ao importador brasileiro,noticia;startupi;Brasil;financeira
