artifact_id,title,status,role_or_result
ART-001,ARGOS_Matriz_Pesquisa_Selecao_Matematica,AUTHORITATIVE_HYPOTHESES_GATES,"33 families; H0-H5; G1-G10; champion-challenger; stop rules"
ART-002,Auditoria Prediction Markets Preliminar,HISTORICAL,"Polymarket core; Kalshi challenger; Manifold behavioral; Metaculus conditional"
ART-003,Censo auditado de mercados,EXECUTED,"1089 contracts; 423 tickers"
ART-004,Timestamp Evidence Pipeline + SEC Release Resolver v1.1,EXECUTED_PASS,"117 safe-cutoff events; ORCL/WSM conflicts excluded"
ART-005,Extended History Live Audit,EXECUTED_PASS,"468 event-horizon pairs; 385 valid snapshots"
ART-006,Empirical Core M0xM2,EXECUTED_PRELIMINARY,"M2 Brier improvement strongest T-3/T-1"
ART-007,Official EPS Audit,EXECUTED_PARTIAL_PASS,"51 official outcomes; 51/51 match; 66 pending"
ART-008,Equity Live Audit,EXECUTED_EXPLORATORY,"legacy exploratory association; not backtest"
ART-009,Consensus Pilot,PARTIAL_CLOSED_ZERO_BUDGET,"24 anchors; no approved rich PIT consensus series"
ART-010,Leakage Registry,REQUIRED_MAINTAINED,"temporal availability by feature/transformation/outcome"
ART-011,Decision Log + GenAI Usage Ledger,REQUIRED_MAINTAINED,"decisions failures corrections human-vs-AI contribution"
ART-012,Artifact Manifest + hashes,REQUIRED_MAINTAINED,"raw files scripts versions params outputs packages"
ART-013,HM-v3.0 / thesis and submission freezes,AUTHORITATIVE_GOVERNANCE,"TF-v1.0; SF-v2.0; THESIS-MAP"
ART-014,Consensus PIT Feasibility EXP-02,CLOSED_NO_GO_ZERO_BUDGET,"licensed route rejected under reproducible R$0 constraint"
ART-015,FactSet PIT Access & Schema Test Kit,NO_GO_OPERATIONAL,"audit evidence only; no AWS dependency"
ART-016,M1-ZB Free Feature Availability Audit,EXECUTED_AUTHORITATIVE_EXP03,"27 features audited; 6 approved core"
ART-017,M1-ZB Core Builder v1.1,IMPLEMENTED_TESTED,"prequential builder; 4/4 tests pass"
ART-018,M1-ZB Empirical Results,COMPLETED_NO_M1_PROMOTION,"M1-ZB worse than M0; M2 best"
ART-019,EXP-04 M3 Results,COMPLETED_NO_M3_PROMOTION,"adaptive weight 1.0 M2 on 224/224 predictions"
ART-020,DAT-007 Equity Provenance v1,EXECUTED_PASS_WITH_LIMITATIONS,"43019 daily rows; 116/117 usable"
ART-021,Independent DAT-007 Audit,PASS_WITH_DISCLOSED_LIMITATIONS,"manifest hashes; reconstruction; GAMB/BLSH limitations"
ART-022,EXP-05 Horizon Selection,EXECUTED_BUT_INCONSISTENT_REGISTRY,"T-1 point-best; T-3 close; values/hash require reconciliation"
ART-023,EXP-06 Economic Translation,COMPLETED_NO_ECONOMIC_PROMOTION,"C0_NO_TRADE champion"
ART-024,EXP-06R Reformulation Freeze,FROZEN_HISTORICAL,"R1 primary; R3 challenger diagnostic"
ART-025,EXP-06R Results,COMPLETED_NO_R1_PROMOTION,"R1 fail; R3 positive diagnostic only"
ART-026,EXP-06S Protocol,SUSPENDED_DIAGNOSTIC_NOT_CORE,"independent R3 confirmation suspended after ART-027"
ART-027,Thesis Constitution and Drift Control FREEZE v1.0,APPROVED_ACTIVE,"immutable thesis; H1-H5 dependency; stop rules"
ART-028,Movement Data Feasibility Audit,PLANNED_SUPPORT,"coverage/missingness/semantics/PIT GO-NOGO per movement feature"
ART-029,EXP-07I Pre-result Protocol,PLANNED_BLOCKED_BY_ART028,"freeze feature dictionary models validation gates claims"
ART-030,EXP-07I Results / H2,PLANNED_BLOCKED_BY_ART029,"central test M_MOVE vs M2 OOS"
