context_id,domain,information,primary_source,status,pit_status,cost_status,historical_scope,materialization_state,audit_disposition,main_limitation
CTX-001,Prediction market,User activity TRADE SPLIT MERGE REDEEM,Polymarket Data API /activity,RETRIEVABLE_FREE_PIT,QUERYABLE_BY_START_END,R$0,Historical user activity with timestamp and conditionId,NOT_MATERIALIZED,ELIGIBLE_IF_EXPLICITLY_REQUIRED_BY_AUDIT,Wallet-by-wallet collection can be large and is not required by P0 H2
CTX-002,Prediction market,Open interest through cutoff,Polymarket ConditionalTokens events + official OI subgraph logic,RECONSTRUCTABLE_FREE_PIT,EVENT_TIME_ONCHAIN,R$0,Standard binary condition lifecycle,NOT_MATERIALIZED,ELIGIBLE_IF_EXPLICITLY_REQUIRED_BY_AUDIT,Current Data API OI is not a historical series; reconstruction must reproduce split plus merge minus redemption semantics
CTX-003,Prediction market,Historical holder position concentration,Polymarket positions and market-positions + onchain token state,LIMITED_NO_DIRECT_HISTORICAL_SNAPSHOT_SERIES,CURRENT_SNAPSHOT_NOT_RETRO_PIT,R$0,current positions directly exposed; retrospective balances would require separate reconstruction,NOT_MATERIALIZED,NO_GO_AS_DIRECT_HISTORICAL_POSITION_INPUT_CURRENT_AUDIT,Do not backfill past holder concentration from current positions; trade-participation concentration is separately available from IC-03
CTX-004,Prediction market,Wallet prior skill history,Polymarket /activity + /closed-positions,RETRIEVABLE_FREE_METHOD_LIMITED,PRE_CUTOFF_FILTERING_POSSIBLE,R$0,Prior timestamped activity and closed positions,NOT_MATERIALIZED,P1_CHALLENGER_ONLY_IF_AUDIT_JUSTIFIES,Late entry multiplicity survivorship and resolution timing must be controlled; naive lifetime win rate prohibited
CTX-005,Equity,Historical intraday bars,Massive Stocks Basic,RETRIEVABLE_FREE_NOT_MATERIALIZED,HISTORICAL_TIMESTAMPED,R$0,2 years historical data; minute aggregates; US stocks,NOT_MATERIALIZED,ELIGIBLE_FOR_H4_IF_H2_PASS,Free plan is rate limited to 5 calls/minute and requires signup/API key
CTX-006,Equity,Historical NBBO spread and top-of-book liquidity,Massive Stocks Basic /v3/quotes/{ticker},RETRIEVABLE_FREE_NOT_MATERIALIZED,HISTORICAL_TIMESTAMPED,R$0,2 years historical quotes with bid ask sizes exchanges timestamps,NOT_MATERIALIZED,ELIGIBLE_FOR_H5_ROBUSTNESS_IF_REACHED,NBBO supports spread/top-of-book liquidity but is not observed implementation shortfall or market impact
CTX-007,Equity,Daily risk factors MKT-RF SMB HML RMW CMA Mom,Kenneth French Data Library,RETRIEVABLE_FREE_VERSION_FREEZE_REQUIRED,HISTORICAL_DAILY,R$0,Daily factor series covering frozen sample,NOT_MATERIALIZED,ROBUSTNESS_ONLY_IF_H4_REACHED,Library notes historical returns can change when source databases are revised; download version and hash must be frozen
CTX-008,Company,Historical fundamentals and filing metadata,SEC data.sec.gov submissions + companyfacts,RETRIEVABLE_FREE_PIT_SCHEMA_REQUIRED,FILING_TIMESTAMP_FILTERABLE,R$0,Historical filings and XBRL facts updated when disseminated,NOT_MATERIALIZED,P1_H3_ONLY_AFTER_H2_PASS,Concept mapping units fiscal-quarter rules amendments and restatements must be frozen before extraction
CTX-009,Company,Official filing and earnings-release text corpus,Existing SEC/IR evidence pipeline + EDGAR,LIMITED_EXISTING_PROVENANCE_NOT_NLP_READY,TIMESTAMPED_DOCUMENT_PROVENANCE_PARTIAL,R$0,Existing validated exhibits/evidence plus retrievable EDGAR filings,PARTIAL_EXISTING,DEFER_NLP_UNLESS_AUDIT_ADDS_A_PREDECLARED_TEXT_TECHNIQUE,No frozen 117-event NLP corpus/document-selection rule; existing evidence cannot silently become a text feature
CTX-010,Macro,US macro release calendar/timestamps,BLS + BEA + Federal Reserve official calendars,RETRIEVABLE_FREE_OFFICIAL,OFFICIAL_RELEASE_TIME,R$0,Historical 2025-2026 calendars available,NOT_MATERIALIZED,ELIGIBLE_AS_CONTEXT_FLAG_ONLY_IF_PREDECLARED,Must freeze minimal release families and timestamps before construction; do not outcome-select macro events
