entry_id,stage,genai_role,human_control,verification,error_or_limitation,artifact_refs,decision_impact,claim_boundary
GAI-001,Thesis research and governance,"Structured the research space, causal chain, falsifiable hypotheses, stop rules and anti-drift controls from user goals and sourced evidence.","Project owner retained thesis approval and explicitly froze ART-027.","ART-027 freeze; synchronized thesis map and claims; later experiments constrained by frozen gates.","GenAI suggestions were treated as candidates until formal freeze; no narrative alone could become evidence.","ART-027; docs/02_thesis_governance.md","Created a falsifiable sequence H1→H2→H4→H5 and prevented post-hoc rescue.","AI output is not empirical evidence."
GAI-002,Source discovery and provenance,"Helped search, classify and compare official documentation, academic techniques and data sources; generated structured provenance inventories.","Only primary/authoritative sources were promoted for data semantics; user constraints R$0/reproducibility controlled source choice.","SR-v3; information inventory; source hashes and source-specific limitations.","Some candidate sources were rejected for lack of PIT semantics, cost, account gating or incomplete documentation.","registry/information_inventory.csv; SR-v3","Expanded coverage while making unavailable inputs explicit instead of fabricating proxies.","No source claim without direct evidence/provenance."
GAI-003,Trade and price data engineering,"Assisted in writing/reviewing GitHub Actions and Python for trade-tape retrieval, dense price history and deterministic manifests.","Execution occurred in CI against live public APIs; outputs were accepted only after row-count/schema/hash checks.","IC-02 and IC-04 raw artifacts, manifests, checksums and reports.","Initial dense-price requests produced HTTP 400 on long windows; workflow was changed to universal fixed chunks based on operational failure, not outcomes.","IC-02; IC-04; scripts/ic04_dense_price_history_audit_chunked.py","Made population-level data collection reproducible.","No model selection or outcome use during collection."
GAI-004,On-chain semantics audit,"Generated and debugged logic for V1/V2 OrderFilled reconciliation, direction/price semantics and FeeModule investigation.","Canonical fields were accepted only after 12,752/12,752 on-chain reconciliation; unexplained API size accounting was not inferred.","IC-03 audit-ready tape; official contract/repository commits; receipt hashes.","A descriptive V1 size relation held 568/569 and was explicitly not promoted as a rule.","registry/ic03_summary.json; data/ic03_audit_ready_tape.csv.gz","Converted vendor trade data into auditable canonical direction/notional inputs.","No unsupported vendor-size semantics claim."
GAI-005,Information completeness closure,"Synthesized IC-02→IC-07 into fail-closed data contracts and classified materialized/retrievable/limited/unavailable domains.","Gate required machine-readable checks and explicit missingness/PIT rules before implementation audit could begin.","16/16 INFORMATION_COMPLETENESS_GATE checks; STATUS transition.","Historical full L2 and broad BMO/AMC timing remained unavailable/limited and were not proxied.","registry/information_completeness_gate.json; docs/21_information_completeness_gate.md","Prevented techniques from being evaluated on assumed data availability.","RETRIEVABLE never treated as MATERIALIZED."
GAI-006,Cross-strategy technique audit,"Helped build a broad 69-technique superset and execute Pass A/Pass B structural, data-fit and redundancy auditing without outcomes.","No shortlist was allowed before full-superset audit; final structural statuses remained subject to frozen gates.","69/69 techniques audited; label-free feature/correlation matrix used only for representation redundancy.","A stale pre-IC implementation matrix was invalidated rather than reused.","registry/implementation_audit.csv; registry/pass_b_summary.json","Reduced degrees of freedom before any confirmatory test without performance-based selection.","No alpha/performance information used in Pass A/B."
GAI-007,ART-028 feature materialization,"Assisted in deterministic implementation of seven movement families and pre-outcome coverage/redundancy diagnostics.","Feature amendments were allowed only for label-free feasibility; thresholds were not relaxed to force passage.","Feature matrix hash, coverage gates, era diagnostics and post-materialization architecture.","24h flow-persistence representation failed coverage; lifecycle representation was adopted before outcomes and the failed version remained documented.","data/art028_h2_feature_matrix.csv.gz; registry/art028_summary.json","Produced six frozen primary movement features plus constrained challengers/robustness.","No outcome consulted for feature architecture."
GAI-008,ART-029 preregistration,"Helped formalize the confirmatory H2 protocol into executable models, walk-forward batching, fixed regularization, metrics, bootstrap, stop rules and trial IDs.","Protocol was committed and cryptographically hashed before target opening; project owner authorized progression.","CI freeze validation; protocol/trial/schedule hashes; 75 expected OOS predictions fixed label-free.","No CV/tuning was allowed; challenger was hierarchical and could not rescue CORE.","registry/art029_exp07i_protocol.json; registry/art029_freeze_manifest.json","Converted research choices into an immutable falsifiable test.","Outcomes prohibited until ART-029 freeze."
GAI-009,ART-030 confirmatory execution,"Assisted in implementing deterministic walk-forward fitting, cluster bootstrap, ablations/robustness and result reporting under the frozen protocol.","CI validated exact ART-029 hashes, sample counts, target reconstruction and trial registry before committing results.","75 OOS predictions / 54 date clusters; raw Gamma outcome artifact; ART-030 summary and report.","H2 result was negative; GenAI did not propose or execute a post-hoc rescue because ART-027/029 prohibited it.","registry/art030_summary.json; docs/26_art030_exp07i_h2_execution.md","Supported transparent execution and interpretation of FAIL_H2.","No claim beyond frozen PASS/FAIL/INCONCLUSIVE rules."
GAI-010,ART-030 debugging,"Diagnosed the first ART-030 workflow failure as a CSV serialization schema mismatch after the scientific calculations had run.","No partial result was committed; only the deterministic writer field-union behavior was changed, then the identical protocol reran.","Failed run log and successful rerun CI.","The engineering fix did not alter population, model, features, lambda, bootstrap, target or gates.","scripts/art030_exp07i_h2_execution.py; GitHub Actions ART-030 runs","Preserved reproducibility without using observed results to change the experiment.","Bug fix only; no scientific degrees of freedom changed."
GAI-011,Post-H2 evidence reconciliation,"Assisted in tracing ART-022 conflicting narratives, identifying the live ART-025 Drive ID, reconstructing remaining official EPS evidence and consolidating GenAI provenance.","Independent source copies, Drive revisions, official SEC/IR evidence and fail-closed residual rules govern reconciliation.","SR-v3 corrections; closeout EPS workflow; final reconciliation matrix/summary.","Any unresolved EPS metric remains pending rather than being selected using the Polymarket label; H2 cannot be rescued by closeout work.","POST-H2 FAIL SCIENTIFIC CLOSEOUT","Closes documentary/evidence gaps before submission freeze.","Reconciliation cannot change frozen H2 except by documented target-integrity invalidation, never by performance selection."
