candidate_id,name,category,status,marco,hypothesis,baseline,metrics,benchmark_type,benchmark,required_configuration,expected_runtime_use,cost_to_measure,latency_to_measure,risks_to_measure,gate,evidence_generated,promotion_criteria,rejection_criteria,removal_criteria,substitute_candidate,substitute_reason,free_self_hosted_verification,source_or_reference,external_dependency,cost_policy
8-1-runtime-core__react,React,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether React improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,frontend_npm_dependency,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-agentic-rag__react_reasoning_acting_agent_loop,ReAct,Agentic RAG / Tool-Using Agents,DOCUMENTED_CANDIDATE,Marco TBD_BY_ROADMAP_MAPPING,"ReAct improves final output by interleaving reasoning steps with tool actions and observations, enabling iterative source lookup, document navigation, verification, and recovery from weak evidence.",direct generation or single-shot tool call without interleaved reasoning/action loop,"[""tool_call_success_rate"", ""trajectory_success"", ""groundedness"", ""unsupported_claim_rate"", ""answerability_score"", ""tool_misuse_rate""]",OUTPUT_VALUE,agent trajectory eval + groundedness/claim verification eval,tool registry; tool schemas; observation schema; policy guardrails; audit logging,"agentic research runtime for retrieval, document navigation, verification, and calculation tools",local compute/token cost only; no paid SaaS required,not blocking per project policy; measure for observability only,tool misuse; hallucination propagation; retrieval misalignment; unsupported claims,agent_tool_policy_and_groundedness_gate,agent trajectory traces; tool-call audit ledger; claim-evidence matrix; final answer eval,kept as canonical agent pattern; runtime use allowed when tool registry and guardrails exist,do not use for tasks that require no tools or where fixed workflow is safer,remove only if replaced by a strictly more explicit reasoning-action agent policy while preserving equivalent capabilities,plan-and-execute; tool-calling agent; hierarchical retrieval interface,"Related but not equivalent; ReAct specifically interleaves reasoning, actions, and observations.",PASS_TECHNIQUE_ONLY; no license constraint for prompting pattern; implementation must use free/self-hosted model/tools,https://arxiv.org/abs/2210.03629; https://reference.langchain.com/python/langchain-classic/agents/react/agent/create_react_agent; https://developers.llamaindex.ai/python/examples/agent/react_agent/,external tools optional; can be local/self-hosted,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__alembic,Alembic,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Alembic improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,local_library_or_pipeline_step,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__docker-compose,Docker Compose,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Docker Compose improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,self_hosted_service,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__fastapi,FastAPI,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether FastAPI improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,self_hosted_service,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__postgresql,PostgreSQL,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether PostgreSQL improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,self_hosted_service,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__qdrant,Qdrant,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Qdrant improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,self_hosted_service,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__sqlalchemy,SQLAlchemy,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether SQLAlchemy improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,local_library_or_pipeline_step,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__typescript,TypeScript,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether TypeScript improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,self_hosted_service,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
8-1-runtime-core__vite,Vite,8.1 Runtime core,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Vite improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,,PASS_BY_FREE_ONLY_FILTER; verify exact license/model terms before implementation; paid SaaS disabled,original_catalog,self_hosted_service,FREE_ONLY_OR_SELF_HOSTED; paid tiers/overages disabled
