gate,scope,evidence,current_status,impacted_techniques,decision,next_action
G-MAPPING,market/event/token mapping,"ARGOS already stores market_id/event_key and earlier audits state all safe events have condition_id plus YES/NO CLOB token IDs; Gamma remains official metadata source",PASS_EXISTING_ARTIFACT,"all PM techniques",USE_EXISTING_MAPPING,"Materialize/freeze authoritative mapping table in ART-028 package with hashes"
G-PRICE-SOURCE,dense PM price history,"Official CLOB prices-history supports token-level historical prices with absolute start/end timestamps and minute fidelity; batch endpoint supports up to 20 markets",PASS_SOURCE_PENDING_COVERAGE,"velocity; acceleration; volatility scaling; jump/change; half-life; BOCPD; CUSUM; Matrix Profile; wavelets",SOURCE_APPROVED_COVERAGE_UNPROVEN,"Run population coverage audit for each eligible YES token and fixed pre-event window"
G-TRADE-SOURCE,public executed trades,"Official Data API trade history exposes proxyWallet side asset conditionId size price timestamp outcome and transactionHash",PASS_SOURCE_PENDING_COMPLETENESS,"signed notional; large-trade share; HHI/top-k; active/new participants; persistence",SOURCE_APPROVED_COMPLETENESS_UNPROVEN,"Extract by conditionId and audit pagination/limits against an independent on-chain source"
G-TRADE-PAGINATION,population completeness,"Official public trades endpoint documents limit up to 10000 and offset up to 10000; high-activity markets may exceed a single query window",BLOCKER_CONDITIONAL,"all trade-derived H2 features",DO_NOT_ASSUME_COMPLETE,"Partition queries where possible and reconcile counts/volume with on-chain archive/provider"
G-TAKER-ONLY,trade semantics,"Public trades endpoint documents takerOnly parameter with default true; population feature semantics require an explicit policy and duplication audit",BLOCKER_CONDITIONAL,"signed flow; size; concentration; participation; persistence",DO_NOT_USE_DEFAULT_BLINDLY,"Test takerOnly true/false semantics and deduplication against transactionHash/order-fill identity"
G-SIDE,authoritative trade direction,"Data API exposes side; official OrderFilled semantics provide settlement-layer maker/taker asset interpretation; recent microstructure research shows inferred public-feed direction can be materially wrong",CONDITIONAL_VALIDATE,"signed notional; signed-count imbalance; whale flow; persistence",VALIDATE_BEFORE_PROMOTION,"Cross-check Data API side on a stratified sample against authoritative on-chain OrderFilled direction"
G-PARTICIPANT,pseudonymous participation,"Data API exposes proxyWallet and on-chain fills expose addresses; these support pseudonymous concentration but not legal/economic identity",PASS_FIELD_WITH_LIMITATION,"HHI; top-k share; active/new wallet count; prior-skill candidates",ALLOW_CONTEXT_ONLY,"Audit identifier stability; state explicitly that address/proxyWallet is not an economic-entity identity"
G-NOTIONAL,trade notional,"Trade size and price are public; user activity also exposes usdcSize, but collateral/exchange semantics changed across V1/V2",CONDITIONAL_VALIDATE_UNITS,"signed notional; large-trade share; concentration",VALIDATE_UNITS_AND_COLLATERAL,"Reconstruct notional from size*price and reconcile aggregate totals separately in V1 and V2"
G-L2-HISTORY,historical spread/depth/order-book events,"Official CLOB documents current full book and real-time market WebSocket but no historical L2 archive was identified in the approved ARGOS sources",NO_GO_DATA,"OFI normalized by depth; spread/depth state conditioning; true historical quoted spread/depth features",KEEP_OUT_OF_EXP07I_V1,"Reopen only if a reproducible historical L2 archive with population coverage is found before ART-029 freeze"
G-QUOTE-LIFECYCLE,participant order placement/cancellation,"On-chain settlement archives observe fills, while off-chain order placements/cancellations are not reconstructible from fills alone",NO_GO_SEMANTICS,"participant quote intensity; cancellation behavior; two-sided quoting history; address-level posted spread",DO_NOT_INFER_FROM_FILLS,"Restrict participant features to executed activity unless a genuine historical order-message archive is obtained"
G-V1-V2,exchange-regime split,"CLOB V2 went live 2026-04-28 with new exchange contracts/backend/collateral and no backward compatibility; ART-023 opportunity timestamps split 295 pre-cutover and 87 post-cutover",BLOCKER_SEGMENTATION,"all PM trade/microstructure features",MODEL_SOURCE_LINEAGE_BY_ERA,"Maintain explicit V1/V2 era flag and separate extraction/validation logic; never silently concatenate incompatible schemas"
G-V1-FALLBACK,pre-V2 on-chain coverage,"Polymarket-v1 Database research archive covers first-generation CTF Exchange through 2026-04-28 and provides ground-truth aggressor direction at very large scale",PASS_CANDIDATE_INDEPENDENT_AUDIT,"pre-V2 flow/concentration/persistence validation",USE_AS_RECONCILIATION_SOURCE,"Validate schema/filters and reconcile a sample of ARGOS pre-V2 conditions against official metadata/Data API"
G-POSTV2-ONCHAIN,post-V2 independent coverage,"Official Polymarket data-resources documentation points to on-chain datasets/providers in addition to its APIs; exact post-V2 population extraction for ARGOS is not yet frozen",CONDITIONAL,"post-V2 flow/concentration/persistence",SOURCE_PATH_EXISTS_IMPLEMENTATION_PENDING,"Choose one reproducible zero-cost route and test event-level completeness/hashes"
G-ERA-COVERAGE,ART-023 event-era distribution,"Using only market_id event_key ticker event date horizon and observation timestamp: 382 opportunity rows across 112 unique events; 83 entirely pre-V2, 19 entirely post-V2, 10 straddle; horizons split T-10 48/9, T-5 80/23, T-3 84/26, T-1 83/29 pre/post",PASS_AUDITED_METADATA,"all ART-028 extraction design",REQUIRE_ERA_AWARE_PIPELINE,"Use event-horizon timestamp rather than company-event date alone to assign extraction era"
G-OUTCOME-BLIND,anti-snooping,"All source-feasibility decisions above use schema timestamps coverage and provenance only; no candidate performance/outcome used",PASS,"all techniques",MAINTAIN,"Do not join resolution/outcome/returns into ART-028 feasibility tables"
