overlay_id,classification,claim_text,evidence,required_qualifier,intended_use
RCLM-001,REPORT_FRAMING_PERMITTED,"ARGOS trata mercados de previsão como sensores point-in-time e só promove risco quando informação adicional demonstra ganho incremental fora da amostra.","FCLM-001; FCLM-003; FCLM-006; FCLM-010","É uma descrição da arquitetura/gates; não afirmar alpha acionário.","Page 1 thesis"
RCLM-002,REPORT_FRAMING_PERMITTED,"A força da modelagem está na pesquisa ampla seguida de redução outcome-blind e parcimoniosa: 69 técnicas auditadas culminaram em seis mecanismos primários, um modelo regularizado de oito coeficientes e um challenger não linear.","W1-A; Pass A/B; ART-028/029","Não dizer que é o modelo mais avançado possível; complexidade apropriada ao n efetivo.","Page 2 modeling"
RCLM-003,REPORT_FRAMING_PERMITTED,"No protocolo confirmatório congelado, M_MOVE_CORE não acrescentou informação incremental além de M2 e nenhum gate de promoção de H2 foi satisfeito.","FCLM-003; FCLM-004; FCLM-005","75 eventos / 54 clusters; não generalizar impossibilidade universal.","Page 3 results"
RCLM-004,REPORT_FRAMING_PERMITTED,"O resultado negativo ativou um stop rule pré-registrado e impediu resgate por subgrupos, novos thresholds ou challengers pós-resultado.","FCLM-006; ART-027/029/030","A regra foi definida antes dos outcomes.","Pages 3-4 governance"
RCLM-005,REPORT_FRAMING_PERMITTED,"As regras econômicas congeladas foram avaliadas com entradas/saídas PIT, SPY, custos, sizing equal-notional e multiplicidade; R1 falhou e C0_NO_TRADE permaneceu champion econômico.","FCLM-007; W1-B","Não apresentar Sharpe/equity curve/max drawdown de portfólio financiado; agregação de posições sobrepostas não foi congelada.","Page 4 backtest"
RCLM-006,REPORT_FRAMING_PERMITTED,"Earnings/EPS foi um laboratório ex-ante defensável e, no EUAS-v1.1 performance-blind, permaneceu o maior score conjunto entre as famílias com evidência completa de gates.","W1-C; event_universe_euas_ranking.json","Não dizer que earnings é globalmente a família de maior assimetria; o ranking é um audit de desenho de pesquisa, não performance ARGOS por família.","Pages 1 and 5"
RCLM-007,REPORT_FRAMING_PERMITTED,"O líder EUAS earnings permaneceu em primeiro em 81/81 perturbações de uma única atribuição em ±1 ponto.","event_universe_euas_ranking.json","Sensibilidade do julgamento EUAS, não intervalo estatístico nem teste de performance.","Page 5 optional micro-callout"
RCLM-008,REPORT_FRAMING_PERMITTED,"FDA é a extensão futura totalmente evidenciada preferencial se a arquitetura preservar transmissão direta para ações individuais.","W1-C; EUAS-v1.1","Próximo estudo deve ser pré-registrado; não afirmar que FDA produziria alpha.","Page 5 next steps"
RCLM-009,REPORT_FRAMING_PERMITTED,"Macro/Fed/CPI é a alternativa totalmente evidenciada de maior score depois de earnings, mas exigiria arquitetura explícita de rates/índices e sofre máxima saturação de informação pública no EUAS.","W1-C; EUAS-v1.1","Não tratar macro como extensão direta do backtest acionário atual.","Page 5 next steps"
RCLM-010,REPORT_FRAMING_PERMITTED,"M&A completion/clearance permanece uma prioridade de descoberta porque a ligação merger-spread é excepcional, mas não foi rankeada por evidência C/S incompleta.","W1-C; EUAS-v1.1","Incompleto não significa fail; não promover antes de ampliar descoberta performance-blind.","Page 5 research backlog"
RCLM-011,REPORT_FRAMING_PERMITTED,"GenAI teve impacto operacional mensurável ao estruturar a pesquisa, automatizar/auditar pipelines, reduzir o espaço de técnicas sob firewall de outcomes e transformar escolhas em protocolos executáveis congelados.","GAI-001..GAI-011","IA não é evidência empírica; toda saída relevante foi validada por execução, fontes, gates ou hashes.","Page 5 GenAI"
RCLM-012,REPORT_FRAMING_PERMITTED,"O caso GenAI mais forte não é geração de texto: é o ciclo proposta -> verificação -> freeze -> execução -> aceitação/rejeição, incluindo a preservação do FAIL_H2 sem rescue pós-hoc.","GAI-003; GAI-006; GAI-008; GAI-009; GAI-010","Descrever controles humanos e limitações; não atribuir decisões científicas autônomas à IA.","Page 5 GenAI"
RCLM-013,PROHIBITED_BY_FREEZE,"ARGOS encontrou alpha acionário ou uma estratégia long/short pronta para implantação.","FCLM-014","Proibido.","Never"
RCLM-014,PROHIBITED_BY_FREEZE,"Movimentos, wallets, fluxo ou microestrutura venceram M2.","FCLM-012","Contradito por H2 congelado.","Never"
RCLM-015,PROHIBITED_BY_FREEZE,"R3 ou C5 são a estratégia final porque tiveram pontos positivos em diagnósticos.","FCLM-015; W1-B","Resultados diagnósticos não podem substituir gates congelados.","Never"
RCLM-016,PROHIBITED_BY_FREEZE,"Earnings é comprovadamente a família mais assimétrica ou FDA/M&A/macro teriam performance ARGOS superior.","FCLM-016; W1-C","EUAS é ex-ante research-design scoring, não backtest de performance por família.","Never"
