figure_id,page,figure_role,series_or_step,value,display_value,unit,source,boundary
FIG-P1-PIPELINE,1,architecture_step,Prediction market sensor,,,concept,"FST-v1.0 / SF-v3.0","Conceptual architecture; no performance value implied"
FIG-P1-PIPELINE,1,architecture_step,M2 aggregate probability,,,concept,"FCLM-001/FCLM-002","M2 is part of ARGOS"
FIG-P1-PIPELINE,1,architecture_step,Incremental movement gate,,,concept,"FCLM-003/FCLM-006","Movement layer must beat M2 out-of-sample"
FIG-P1-PIPELINE,1,architecture_step,Economic promotion gate,,,concept,"FCLM-007/FCLM-010","No promotion if evidence fails"
FIG-P1-EUAS,1,euas_score,Earnings/EPS,72,72,points,event_universe_euas_ranking.json,"Research-design score; not ARGOS performance"
FIG-P1-EUAS,1,euas_score,Macro/Fed/CPI,50,50,points,event_universe_euas_ranking.json,"Research-design score; not ARGOS performance"
FIG-P1-EUAS,1,euas_score,FDA approval/advisory,47,47,points,event_universe_euas_ranking.json,"Research-design score; not ARGOS performance"
FIG-P1-EUAS,1,euas_score,M&A announcement/rumor,47,47,points,event_universe_euas_ranking.json,"Research-design score; not ARGOS performance"
FIG-P2-FUNNEL,2,research_funnel,Technique universe,69,69,techniques,model_complexity_sufficiency_summary.json,"Outcome-blind universe"
FIG-P2-FUNNEL,2,research_funnel,Pass-B inputs,59,59,inputs,model_complexity_sufficiency_summary.json,"Outcome-blind structural audit"
FIG-P2-FUNNEL,2,research_funnel,Label-free descriptors,25,25,descriptors,model_complexity_sufficiency_summary.json,"No outcomes"
FIG-P2-FUNNEL,2,research_funnel,Primary movement mechanisms,6,6,features,model_complexity_sufficiency_summary.json,"Frozen before outcomes"
FIG-P2-FUNNEL,2,research_funnel,M_MOVE_CORE coefficients,8,8,coefficients,model_complexity_sufficiency_summary.json,"2 unpenalized + 6 ridge-regularized movement coefficients"
FIG-P2-FUNNEL,2,research_funnel,Nonlinear challenger allowance,1,1,challenger,model_complexity_sufficiency_summary.json,"Hierarchical; cannot rescue core"
FIG-P2-SAMPLE,2,sample,OOS scored events,75,75,events,final_submission_numbers.csv,"EXP07I-T02"
FIG-P2-SAMPLE,2,sample,OOS date clusters,54,54,clusters,final_submission_numbers.csv,"Independent date-cluster unit"
FIG-P2-SAMPLE,2,sample,Initial training warm-up,40,40,events,model_complexity_sufficiency_summary.json,"Expanding walk-forward"
FIG-P3-METRICS,3,brier,M2_CAL,0.14502650803435788,0.1450,Brier,final_submission_numbers.csv,"75 events / 54 clusters"
FIG-P3-METRICS,3,brier,M_MOVE_CORE,0.1620974987486428,0.1621,Brier,final_submission_numbers.csv,"Lower is better"
FIG-P3-LOGLOSS,3,log_loss,M2_CAL,0.45400185611709,0.4540,log_loss,final_submission_numbers.csv,"75 events / 54 clusters"
FIG-P3-LOGLOSS,3,log_loss,M_MOVE_CORE,0.5403842574211747,0.5404,log_loss,final_submission_numbers.csv,"Lower is better"
FIG-P3-CI,3,incremental_brier,M2_CAL minus M_MOVE_CORE,-0.017070990714284907,-0.0171,Brier,final_submission_numbers.csv,"Negative means movement model did not improve over M2_CAL"
FIG-P3-CI,3,incremental_brier_ci_low,CI95 low,-0.04910144519317386,-0.0491,Brier,final_submission_numbers.csv,"Paired cluster bootstrap"
FIG-P3-CI,3,incremental_brier_ci_high,CI95 high,0.012816462700925006,0.0128,Brier,final_submission_numbers.csv,"Paired cluster bootstrap"
FIG-P3-CI,3,incremental_logloss,M2_CAL minus M_MOVE_CORE,-0.08638240130408478,-0.0864,log_loss,final_submission_numbers.csv,"Negative means movement model did not improve over M2_CAL"
FIG-P3-CI,3,incremental_logloss_ci_low,CI95 low,-0.21447850973675447,-0.2145,log_loss,final_submission_numbers.csv,"Paired cluster bootstrap"
FIG-P3-CI,3,incremental_logloss_ci_high,CI95 high,0.025206964277829834,0.0252,log_loss,final_submission_numbers.csv,"Paired cluster bootstrap"
FIG-P3-STABILITY,3,temporal_gate,Positive Brier terciles,0,0,of_3,final_submission_numbers.csv,"Frozen robustness gate: 0/3"
FIG-P4-R1,4,economic_trial,Eligible opportunities,108,108,opportunities,economic_backtest_quality_summary.json,"R1 T-1 / 10 sessions"
FIG-P4-R1,4,economic_trial,Executed trades,34,34,trades,economic_backtest_quality_summary.json,"21 long / 13 short"
FIG-P4-R1,4,economic_trial,Longs,21,21,trades,economic_backtest_quality_summary.json,"R1"
FIG-P4-R1,4,economic_trial,Shorts,13,13,trades,economic_backtest_quality_summary.json,"R1"
FIG-P4-R1,4,economic_trial,Trade rate,0.3148148148148148,31.48,percent,economic_backtest_quality_summary.json,"R1"
FIG-P4-R1,4,economic_trial,MA net per opportunity,-0.002050335178338882,-0.2050,percent,economic_backtest_quality_summary.json,"Market-adjusted net; opportunity denominator"
FIG-P4-R1,4,economic_trial,CI95 low,-0.009719144951331745,-0.9719,percent,economic_backtest_quality_summary.json,"MA net per opportunity"
FIG-P4-R1,4,economic_trial,CI95 high,0.00559016443962192,0.5590,percent,economic_backtest_quality_summary.json,"MA net per opportunity"
FIG-P4-R1,4,economic_trial,Hit rate,0.4117647058823529,41.18,percent,economic_backtest_quality_summary.json,"Executed trades"
FIG-P4-R1,4,economic_trial,Holm p,1.0,1.0,p_value,economic_backtest_quality_summary.json,"Multiplicity-adjusted"
FIG-P4-COST,4,cost,Long round trip,20,20,bps,economic_backtest_quality_summary.json,"Frozen screening cost"
FIG-P4-COST,4,cost,Short round trip,35,35,bps,economic_backtest_quality_summary.json,"Frozen screening cost"
FIG-P5-GENAI,5,genai_count,Final ledger,11,11,entries,genai_usage_summary.json,"Human-in-the-loop"
FIG-P5-EUAS,5,euas_score,Earnings/EPS,72,72,points,event_universe_euas_ranking.json,"Research-design only"
FIG-P5-EUAS,5,euas_score,Macro/Fed/CPI,50,50,points,event_universe_euas_ranking.json,"Research-design only"
FIG-P5-EUAS,5,euas_score,FDA approval/advisory,47,47,points,event_universe_euas_ranking.json,"Preferred fully evidenced single-name extension"
FIG-P5-EUAS,5,euas_score,M&A announcement/rumor,47,47,points,event_universe_euas_ranking.json,"High SCB penalty"
FIG-P5-SENS,5,euas_sensitivity,Earnings leader retained,81,81,of_81,event_universe_euas_ranking.json,"One-cell +/-1 assignment sensitivity; not statistical CI"
