id,area,technique,target_gate,priority,thesis_alignment,evidence_strength,data_fit,time_fit,interpretability,recommendation,key_risk
TECH-001,data_integrity,on-chain_OrderFilled_aggressor_sign,H2,P0,5,5,4,4,5,ADOPT_IF_AVAILABLE,historical_onchain_join_cost
TECH-002,microstructure,YES_equivalent_signed_flow,H2,P0,5,4,4,4,5,ADOPT_IF_AVAILABLE,token_side_mapping
TECH-003,microstructure,signed_trade_count_imbalance,H2,P0,5,5,4,5,5,ADOPT_IF_AVAILABLE,trade_direction_quality
TECH-004,microstructure,signed_notional_imbalance,H2,P0,5,5,4,5,5,ADOPT_IF_AVAILABLE,large_trade_outliers
TECH-005,participants,HHI_and_top_k_notional_concentration,H2,P0,5,5,5,5,5,ADOPT_IF_AVAILABLE,wallet_aliasing
TECH-006,participants,active_and_new_wallet_share,H2,P0,5,4,5,5,5,ADOPT_IF_AVAILABLE,address_recycling
TECH-007,trajectory,probability_velocity_acceleration_jump,H2,P0,5,5,5,5,5,ADOPT,irregular_sampling
TECH-008,regime,BOCPD_change_point_probability,H2,P0,5,4,4,4,4,CHALLENGER_CORE,parameter_sensitivity
TECH-009,beliefs,price_entropy_consensus_uncertainty,H2,P0,5,4,4,4,5,ADOPT_IF_REPRODUCIBLE,definition_reproduction
TECH-010,beliefs,dollar_volume_weighted_disagreement,H2,P0,5,4,4,4,5,ADOPT_IF_REPRODUCIBLE,definition_reproduction
TECH-011,state,lifecycle_liquidity_conditioning,H2,P0,5,5,5,5,5,ADOPT,state_model_misspecification
TECH-012,dynamics,signed_flow_persistence_run_length,H2,P0,5,4,5,5,5,ADOPT_IF_AVAILABLE,autocorrelation_from_execution_splitting
TECH-013,microstructure,OFI_depth_normalized,H2,P1,5,5,2,2,5,USE_ONLY_IF_HISTORICAL_L2_EXISTS,L2_history_availability
TECH-014,microstructure,Kyle_lambda_price_impact,H2,P1,4,4,2,3,4,DIAGNOSTIC_IF_DEPTH_EXISTS,aggressor_sign_and_depth
TECH-015,microstructure,market_level_PIN,H2,P1,4,4,3,2,4,CHALLENGER,identifiability_small_sample
TECH-016,microstructure,VPIN_or_SVPIN,H2,P2,3,3,3,3,4,DIAGNOSTIC_ONLY,mechanical_trading_intensity
TECH-017,participants,prior_skill_weighted_flow,H2,P1,4,4,3,2,4,CHALLENGER_ONLY,late_entry_and_multiplicity
TECH-018,participants,maker_taker_switcher_composition,H2,P1,4,4,3,3,4,CHALLENGER_ONLY,role_attribution
TECH-019,regime,Hawkes_self_excitation,H2,P2,4,5,2,1,3,DEFER,identifiability_and_time
TECH-020,regime,HMM_or_MMHP_latent_state,H2,P2,4,4,2,1,3,DEFER,small_sample_overfit
TECH-021,H3,firm_size_volatility_liquidity_timing_proxies,H3,P1,4,4,5,5,5,USE_ONLY_AFTER_H2_PASS,multiple_interactions
TECH-022,H3,analyst_dispersion_coverage,H3,P2,4,5,1,1,5,DEFER_UNTIL_FREE_PIT_SOURCE,data_cost_and_vintages
TECH-023,H3,options_flow_IV_skew,H3,P2,4,5,1,1,4,DEFER_UNTIL_REPRODUCIBLE_DATA,data_cost
TECH-024,H4,overnight_PM_innovation_to_next_equity_open,H4,P0,5,5,4,4,5,ADOPT_IF_H2_PASS,reverse_causality_time_alignment
TECH-025,H4,Hasbrouck_information_share_VECM,H4,P2,4,5,2,2,4,DEFER,cointegration_assumption
TECH-026,H4,transfer_entropy,H4,P2,3,3,3,2,3,DEFER,sample_complexity
TECH-027,H5,selective_classification_abstention,H5,P0,5,4,5,5,5,ADOPT_IF_H4_PASS,threshold_selection
TECH-028,H5,cost_aware_no_trade_region,H5,P0,5,5,5,5,5,ADOPT_IF_H4_PASS,cost_model_error
TECH-029,H5,temporal_conformal_uncertainty,H5,P1,4,4,4,3,4,ROBUSTNESS,temporal_dependence
TECH-030,validation,trial_ledger_DSR_PBO,H5,P0,5,5,5,4,5,ADOPT_IF_ECONOMIC_SEARCH_EXPANDS,small_number_of_trials
TECH-031,modeling,deep_multimodal_TFT_GAT_CVAE,H2,P2,3,2,2,1,2,REJECT_FOR_CURRENT_DEADLINE,overfit_complexity
