route_id,venue,market_id,condition_id,ticker,slug,question,category,volume,yes_token,entry_ts,entry_yes_price,terminal_yes_price,side,gross_pnl_per_contract,net_pnl_per_contract,return_on_stake,hit,history_points,history_window_days,entry_no_price,terminal_no_price,data_tier,price_source,entry_archive_date
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,253591,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,,will-donald-trump-win-the-2024-us-presidential-election,Will Donald Trump win the 2024 US Presidential Election?,,1531479284.504353,21742633143463906290569050155826241533067272736897614950488156847949938836455,1729728003,0.6155,1.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,253597,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,,will-kamala-harris-win-the-2024-us-presidential-election,Will Kamala Harris win the 2024 US Presidential Election?,,1037039118.18879,69236923620077691027083946871148646972011131466059644796654161903044970987404,1729728003,0.3845,0.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,2169995,0x3733a1b647e7364095736ab0966465d896a84cf3b6bc1695ca1f26c3239b3868,,microstrategy-sells-any-bitcoin-by-may-31-2026,"MicroStrategy sells any Bitcoin by May 31, 2026?",,375813104.55575246,25714007960293389110960044475283546872601238755063051359394740854408462452120,1779408026,0.155,0.0,BUY_NO,0.155,0.155,0.1834319526627219,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1640919,0x6d0e09d0f04572d9b1adad84703458b0297bc5603b69dccbde93147ee4443246,,us-forces-enter-iran-by-april-30-899,US forces enter Iran by April 30?,,269049107.0837461,2916184120206223749839849644877707470354946028257066951797428049170871002238,1774569650,0.615,1.0,ABSTAIN,0.0,0.0,,,4,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,546814,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,,will-zelenskyy-wear-a-suit-before-july,Will Zelenskyy wear a suit before July?,,242231180.272023,103864131794756285503734468197278890131080300305704085735435172616220564121629,1750896008,0.182,0.0,BUY_NO,0.182,0.182,0.22249388753056232,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,2036399,0x1d2787cb8aed975d092b2799ed6f4083e9445f7420cdc09e9d47e7d54356c6cd,,us-x-iran-ceasefire-extended-by-april-22-2026,"US x Iran ceasefire extended by April 22, 2026?",,203621392.1401,50049642142024617231697970377792489304039200104142714216386619263735691638204,1776816017,0.48,0.0,ABSTAIN,0.0,0.0,,,10,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,2270330,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,,us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,"US x Iran permanent peace deal by June 15, 2026?",,177370818.43892464,5904694069529905826680225678119990013628860098514322777023141327768111791078,1780617619,0.125,1.0,BUY_NO,-0.875,-0.875,-1.0,False,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558938,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,,will-argentina-win-the-2026-fifa-world-cup-245,Will Argentina win the 2026 FIFA World Cup?,,174315688.25573426,18812649149814341758733697580460697418474693998558159483117100240528657629879,1783382408,0.1705,0.0,BUY_NO,0.1705,0.1705,0.20554550934297772,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1706788,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,,us-x-iran-ceasefire-by-april-7,US x Iran ceasefire by April 7?,,173696184.17746878,82855088893985825781350466813737280564000275725006328179621744619327480699369,1774742457,0.105,1.0,BUY_NO,-0.895,-0.895,-1.0,False,2,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,253727,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,Kamala Harris wins the popular vote?,,163779786.645492,21271000291843361249209065706097167029083067325856089903026951915683588703117,1730246403,0.5825,0.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,680392,0x43ec78527bd98a0588dd9455685b2cc82f5743140cb3a154603dc03c02b57de5,,will-there-be-another-us-government-shutdown-by-january-31,US government shutdown Saturday?,,157296576.448084,52607315900507156846622820770453728082833251091510131025984187712529448877245,1769040011,0.115,1.0,BUY_NO,-0.885,-0.885,-1.0,False,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558963,0x37a6de1b21803e5f3fb1965116218215d79963af4f7e51659696366267a63a03,,will-morocco-win-the-2026-fifa-world-cup-464,Will Morocco win the 2026 FIFA World Cup?,,152254451.3257818,69910730841487615802736046038473620030754616421912831175284551372639933569112,1782864003,0.0315,0.0,BUY_NO,0.0315,0.0315,0.03252452245740836,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558934,0x7976b8dbacf9077eb1453a62bcefd6ab2df199acd28aad276ff0d920d6992892,,will-spain-win-the-2026-fifa-world-cup-963,Will Spain win the 2026 FIFA World Cup?,,152168021.58979887,4394372887385518214471608448209527405727552777602031099972143344338178308080,1783382410,0.1835,1.0,BUY_NO,-0.8165,-0.8165,-1.0,False,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,538932,0xebddfcf7b4401dade8b4031770a1ab942b01854f3bed453d5df9425cd9f211a9,,will-zohran-mamdani-win-the-2025-nyc-mayoral-election,Will Zohran Mamdani win the 2025 NYC mayoral election?,,143254859.334333,33945469250963963541781051637999677727672635213493648594066577298999471399137,1761177610,0.93,1.0,BUY_YES,0.06999999999999995,0.06999999999999995,0.07526881720430102,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558943,0xcdb1f0400949238a63d3e88243d2ada08cd9c2a71985ced9f0cfd5e66354cf90,,will-usa-win-the-2026-fifa-world-cup-467,Will USA win the 2026 FIFA World Cup?,,142460221.86557126,94603648636330087039501304492699481091005420017442244191603206509188088089447,1782259211,0.0345,0.0,BUY_NO,0.0345,0.0345,0.035732780942516834,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1795527,0xa93b28a6384aefff4e7d5adb2061c444e4a0e95b8ad17755f9cee123c7099b35,,russia-x-ukraine-ceasefire-by-may-31-2026,"Russia x Ukraine ceasefire by May 31, 2026?",,141250712.68070313,79574854225464477884287524461980167393583915155475895540399834902850789709576,1777161609,0.0515,1.0,BUY_NO,-0.9485,-0.9485,-1.0,False,13,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558945,0x5ccfe1b69a582d2985db08a8481a0d74c314b1fce9b4711ae2efb2c6467fe6aa,,will-mexico-win-the-2026-fifa-world-cup-529,Will Mexico win the 2026 FIFA World Cup?,,137807960.8917842,22587775301869146748237913050505932485648958481571808324285560650057390882036,1782950413,0.0305,0.0,BUY_NO,0.0305,0.0305,0.031459515214027844,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558951,0x7b52405ad0e0d31bfe970940b67d77f24ecedeab8a2361c11148c02a006e325c,,will-norway-win-the-2026-fifa-world-cup-893,Will Norway win the 2026 FIFA World Cup?,,137345387.0652803,60447443643099453130956385288904175887233107411078568881602330835010340506057,1782777610,0.0215,0.0,BUY_NO,0.0215,0.0215,0.02197240674501788,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,507286,0xce0f82dc8bb789ffd3bc2928db80bbc539fa04dd223d6e15e2d81eabf8e279fe,,will-aston-villa-win-the-uefa-champions-league,Will Aston Villa win the UEFA Champions League?,,133113813.382904,17148991929546304218678959738430213065524880357303658607403556776126482126118,1743638405,0.0255,0.0,BUY_NO,0.0255,0.0255,0.026167265264238068,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558974,0x3a26ca6425e2d98f14935670bc22cdb0744defc6f6d83c65f8c413a921c5c70c,,will-switzerland-win-the-2026-fifa-world-cup,Will Switzerland win the 2026 FIFA World Cup?,,132837715.7947361,62131913648515148266463816694306031394539656598501514114816028349608560215534,1783468805,0.0215,0.0,BUY_NO,0.0215,0.0215,0.02197240674501788,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558936,0x9b6fef249040fd17e9c107955b37ac2c3e923509b6b0ff01cc463a331ddeb894,,will-france-win-the-2026-fifa-world-cup-924,Will France win the 2026 FIFA World Cup?,,132448346.86106883,108233603819467706476318984012158651931658302669301887462181073562758483842092,1782950411,0.3545,0.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1180303,0xd4bbf7f6707c67beb736135ad32a41f6db41f8ae52d3ac4919650de9eeb94ed8,,khamenei-out-as-supreme-leader-of-iran-by-february-28,Khamenei out as Supreme Leader of Iran by February 28?,,131114970.827221,39317885422026394259056328144566743331998444273202427934141325790266108570112,1771459228,0.0615,1.0,BUY_NO,-0.9385,-0.9385,-1.0,False,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558946,0x32cfa52198e85e070d1b17d1b53c5c3a6aaae7736cdc33fa6aa04d353f0c2811,,will-belgium-win-the-2026-fifa-world-cup-358,Will Belgium win the 2026 FIFA World Cup?,,129278677.369467,30815807067456631524510535002617106205417832891402132396713720656146245200000,1783468806,0.0245,0.0,BUY_NO,0.0245,0.0245,0.025115325474115838,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,572473,0x46d40e851b24d9b0af4bc1942ccd86439cae82a9011767da14950df0ad997adf,,will-trump-nominate-judy-shelton-as-the-next-fed-chair,Will Trump nominate Judy Shelton as the next Fed chair?,,127684064.95211223,5031084282167950494806674428243037744881029417420880897305642929037077494331,1771459230,0.0355,0.0,BUY_NO,0.0355,0.0355,0.0368066355624676,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,253706,0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,Will Donald Trump win the popular vote in the 2024 Presidential Election?,,119932620.818624,42699080635179861375280720242213672850141860123562672932351602811041149946128,1730160002,0.4295,1.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,507276,0xef8cf8b45ef7e3a607a72b6e1d56bede869fdd81795b63db847de1090bf11c41,,tiktok-banned-in-the-us-before-may-2025,TikTok banned in the US before May 2025?,,119653357.735965,24635636911615866092589652362670811323984202357282728474473612545495782013438,1736380803,0.51,1.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558935,0x375409bc5eeeff961e82b479caeccc20f33d15738e5bce1186d628aa3d9dfb1f,,will-england-win-the-2026-fifa-world-cup-937,Will England win the 2026 FIFA World Cup?,,110162254.18757918,115556263888245616435851357148058235707004733438163639091106356867234218207169,1783036813,0.0765,0.0,BUY_NO,0.0765,0.0765,0.0828370330265295,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558940,0x4f3421fb2daf5cca7430ed8d8132463963081572d75434393a1808fdb8829fe8,,will-portugal-win-the-2026-fifa-world-cup-912,Will Portugal win the 2026 FIFA World Cup?,,109092961.84747173,45415751658241142530386585138386640503488308219341470020075667342738719018629,1782259207,0.0805,0.0,BUY_NO,0.0805,0.0805,0.08754758020663404,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,601699,0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,,106767096.072298,112838095111461683880944516726938163688341306245473734071798778736646352193304,1768435225,0.9415,1.0,BUY_YES,0.058499999999999996,0.058499999999999996,0.06213489113117365,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558947,0xe99cc59f32b10d23acf196d1a0e8264ea30fca198428acadd3464b06ff60e771,,will-colombia-win-the-2026-fifa-world-cup-734,Will Colombia win the 2026 FIFA World Cup?,,104668584.41449788,98803390175521456712653678280474920637934596234667490983228578374641217211132,1782691209,0.0265,0.0,BUY_NO,0.0265,0.0265,0.02722136620441705,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,601698,0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,,101211542.667667,92703761682322480664976766247614127878023988651992837287050266308961660624165,1768435220,0.056,0.0,BUY_NO,0.056,0.056,0.059322033898305086,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558949,0x0189df05ed7bf84d799213b01a79571e305c03b2ac5359cfbb3a323448ba20fa,,will-japan-win-the-2026-fifa-world-cup-112,Will Japan win the 2026 FIFA World Cup?,,95790683.29305987,19159976531313550247579355752030367100657092033093647047491459813592996250034,1782086405,0.0215,0.0,BUY_NO,0.0215,0.0215,0.02197240674501788,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,797327,0xac9c6628a5398bb2a06f566854270a9fbc7f2badec4329d3b5fdc1407291c35b,,will-trump-release-the-epstein-files-by-december-19-771,Will Trump release the Epstein files by December 19?,,90915983.771306,97631444429136963410558776454705646247419477447963422218240880878426855760467,1765411215,0.515,1.0,ABSTAIN,0.0,0.0,,,15,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1198423,0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,"US strikes Iran by February 28, 2026?",,89652867.363489,110790003121442365126855864076707686014650523258783405996925622264696084778807,1771113617,0.125,1.0,BUY_NO,-0.875,-0.875,-1.0,False,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,2446852,0x86f5b0f1934bb39421651ad2ba0f04494700ba9e95663a5c141a8674c4978c15,,will-ronaldo-cry-at-the-world-cup-20260604013616610,Will Ronaldo Cry at the World Cup?,,89210513.79233912,70563299267515386481251787764905458483722161674933642786238649081287869119194,1782518413,0.645,1.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,534189,0xa4f51ae09144ebedb1e4329a28597dcb25217be1050fb76b86335837943bf519,,will-lee-jae-myung-be-elected-the-next-president-of-south-korea,Will Lee Jae-myung be elected the next president of South Korea?,,88035547.447225,106153378961102532315642223211322829491902773315904192835321056658787574388535,1747785606,0.935,1.0,BUY_YES,0.06499999999999995,0.06499999999999995,0.06951871657754005,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1919425,0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,,us-x-iran-permanent-peace-deal-by-may-31-2026-333-871-241-192-799-449-125,"US x Iran permanent peace deal by May 31, 2026?",,87888981.28583376,72094069823942324362885404801938332659316240217382754851102758232469673300092,1779148805,0.155,0.0,BUY_NO,0.155,0.155,0.1834319526627219,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,507300,0x7beceb04f7b1d4f0dde80b58c6f43c23b8ad54b21c693e172c974f480b46483c,,will-inter-milan-win-the-uefa-champions-league,Will Inter Milan win the UEFA Champions League?,,82978657.0443518,38626294313509935541386699081410949237349566230461651187135121754117545664676,1747612806,0.4105,0.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558937,0x30d55d8124ee1e12dabe89201badc45669b81dff69e4ce44d961f32878ec178a,,will-brazil-win-the-2026-fifa-world-cup-183,Will Brazil win the 2026 FIFA World Cup?,,81936874.65550427,27576533317283401577758999384642760405921738493660383550832555714312627457443,1782172812,0.0555,0.0,BUY_NO,0.0555,0.0555,0.05876124933827422,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558939,0x1595b4818eeb1ea1e0bec5de6f057218e557feee9b405a0e930d290384fa1d16,,will-germany-win-the-2026-fifa-world-cup-467,Will Germany win the 2026 FIFA World Cup?,,80873590.38103242,81739002353269632749850710185641576213562066971072676369728657545679630163887,1781654408,0.0585,0.0,BUY_NO,0.0585,0.0585,0.06213489113117366,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,812010,0x32707ae194389a70f25314ec934851daba12d893da616c492ffe8b655b7759a9,,will-eleven-die-in-stranger-things-season-5,"Will Eleven die in ""Stranger Things: Season 5""?",,80824835.00196,68403617023928319391393106546921684553483543294700440401405462140878184745736,1766448010,0.54,0.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,558941,0x9be56371f6a29d12769b2f196847ee825b9585ebb8bfa042136be031b081eba1,,will-netherlands-win-the-2026-fifa-world-cup-739,Will Netherlands win the 2026 FIFA World Cup?,,77727053.21317497,55935183786009449883683540312350046975246300613283087403691731856990327029236,1781654411,0.0455,0.0,BUY_NO,0.0455,0.0455,0.047668936616029334,True,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,502571,0x70de1b06646805d289744df352ed58b5612fafb3d0322e483243c32cb110f8a7,,will-trump-launch-a-coin-before-the-election,Will Trump launch a coin before the election?,,76899060.598799,104468264438118085465761163263611745362235161579898771567536629365715258090512,1728086402,0.335,1.0,BUY_NO,-0.665,-0.665,-1.0,False,14,14,,,,,
PM_ALL_POLYMARKET_CONTRACT_PNL,Polymarket,1162940,0x306d10d4a4d51b41910dbc779ca00908bd917c131541c5c42bbbc736258d2d56,,us-forces-enter-iran-by-march-31-222-191-243-517-878-439-519,US forces enter Iran by March 31?,,73927762.4785615,42750054381142639205639663180818682570869285140532640407891991570656047928885,1774224038,0.205,0.0,BUY_NO,0.205,0.205,0.2578616352201258,True,7,14,,,,,
PM_POLYMARKET_MACRO_CONTRACT_PNL,Polymarket,680392,0x43ec78527bd98a0588dd9455685b2cc82f5743140cb3a154603dc03c02b57de5,,will-there-be-another-us-government-shutdown-by-january-31,US government shutdown Saturday?,,157296576.448084,52607315900507156846622820770453728082833251091510131025984187712529448877245,1769040011,0.115,1.0,BUY_NO,-0.885,-0.885,-1.0,False,14,14,,,,,
PM_POLYMARKET_MACRO_CONTRACT_PNL,Polymarket,572473,0x46d40e851b24d9b0af4bc1942ccd86439cae82a9011767da14950df0ad997adf,,will-trump-nominate-judy-shelton-as-the-next-fed-chair,Will Trump nominate Judy Shelton as the next Fed chair?,,127684064.95211223,5031084282167950494806674428243037744881029417420880897305642929037077494331,1771459230,0.0355,0.0,BUY_NO,0.0355,0.0355,0.0368066355624676,True,14,14,,,,,
PM_POLYMARKET_MACRO_CONTRACT_PNL,Polymarket,507276,0xef8cf8b45ef7e3a607a72b6e1d56bede869fdd81795b63db847de1090bf11c41,,tiktok-banned-in-the-us-before-may-2025,TikTok banned in the US before May 2025?,,119653357.735965,24635636911615866092589652362670811323984202357282728474473612545495782013438,1736380803,0.51,1.0,ABSTAIN,0.0,0.0,,,14,14,,,,,
PM_POLYMARKET_MACRO_CONTRACT_PNL,Polymarket,601699,0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,,106767096.072298,112838095111461683880944516726938163688341306245473734071798778736646352193304,1768435225,0.9415,1.0,BUY_YES,0.058499999999999996,0.058499999999999996,0.06213489113117365,True,14,14,,,,,
