technique,target_gate,pass_a_status,pass_b_status,final_status,architecture_family,architecture_role,redundancy_basis,next_step
Signed notional imbalance,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_FLOW,CORE_FEATURE,Distinct signed-dollar-flow mechanism; canonical on-chain notional/direction.,ART-028 materialize fixed windows; ART-029 core flow family.
OFI normalized by depth,H2,NO_GO_DATA,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,NO_GO_DATA,FLOW_LIQUIDITY,NO_GO_CURRENT_SAMPLE,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Keep concept documented; do not include in ART-029 for the frozen sample.
Large-trade share,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CHALLENGER,H2_FLOW_SIZE,CHALLENGER_FEATURE,Size-conditioning is distinct from net direction but adds a threshold degree of freedom.,Keep one prior-only size definition; ablate after core flow.
HHI and top-k notional share,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_CONCENTRATION,CORE_FEATURE,Participant concentration is distinct from direction; HHI/top-k variants are internal duplicates within one family.,Use one primary concentration statistic; top-k only sensitivity.
Run length and signed-flow persistence,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_FLOW_PERSISTENCE,CORE_FEATURE,Temporal ordering adds information not contained in aggregate net flow.,Freeze minimum trade count and one persistence statistic.
Spread/depth state conditioning,H2,NO_GO_DATA,PRESERVED_PASS_A_STRUCTURAL_DISPOSITION,NO_GO_DATA,LIQUIDITY_STATE,NO_GO_CURRENT_SAMPLE,Preserved hard structural no-go or pre-Pass-B deferred disposition from outcome-blind Pass A.,Exclude from ART-029 current sample; only prospective future collection could reopen it.
Inventory-style decision band,H5,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H5_ABSTENTION,CORE_DECISION,Directly implements LONG/SHORT/NO_TRADE with simple deterministic abstention.,Only after H4; retain C0 no-trade null.
Implementation shortfall,H5,CONDITIONAL,AUDITED_PASS_B,CONDITIONAL,H5_EXECUTION,CONDITIONAL_ROBUSTNESS,NBBO is retrievable but realized shortfall is not yet materialized/identified.,Open a separate execution-data gate only if H5 is reached.
Multi-horizon sign consistency,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_ROBUSTNESS,H2_TRAJECTORY,ROBUSTNESS_FEATURE,Sign-only trajectory summary is simpler but overlaps magnitude-based trajectory measures; useful as ablation/robustness.,Do not count as separate core family; compare against velocity family.
Velocity and acceleration,H2,GO_CORE_CANDIDATE,AUDITED_PASS_B,GO_CORE_CANDIDATE,H2_TRAJECTORY,CORE_FEATURE,Timestamp-aware trajectory slope/curvature is directly materializable and interpretable.,Freeze a small fixed window set; acceleration secondary to velocity.
