family,evidence_type,source,source_id_or_doi,preliminary_finding,relevance_to_argos,current_contractability_evidence,status
Prediction markets general,academic primary,"Wolfers & Zitzewitz — Prediction Markets",NBER_w10504,"Prediction markets can aggregate dispersed information into useful market-generated forecasts.","Supports M2 as an information-sensor baseline and makes incremental-over-M2 the correct hard test.",N/A,REVIEWED
Earnings/EPS,academic primary,"Cheong & Tamayo — Beyond the Wisdom of the Crowd: Concentrated Informed Trading in Earnings Prediction Markets",SSRN_6685139,"2026 Polymarket earnings study reports prediction accuracy concentrated among a small number of large traders.","Earnings cannot be dismissed as a low-information-asymmetry environment; participant concentration is theoretically relevant even though ARGOS H2 failed.","ARGOS frozen panel has 117 contracts; official Polymarket maintains a dedicated earnings category.",REVIEWED
Earnings/EPS,academic primary,"Rabetti; Shao; Zhang — Beating the Earnings Game: Why Do Prediction Markets Outperform Professional Analysts?",SSRN_6649938,"Study of 469 Polymarket firm-quarter observations reports prediction-market probabilities outperforming analyst consensus and attributes value to continuous aggregation/crowd mechanisms.","Strengthens the case that aggregate probability may already be a strong information aggregator in earnings; does not authorize ARGOS sell-side superiority claim because our project did not reproduce their dataset/benchmark.","Dedicated recurring earnings contracts visible on Polymarket.",REVIEWED_CONTEXT_ONLY
Corporate announcements,academic primary,"Brennan; Huh; Subrahmanyam — High-Frequency Measures of Informed Trading and Corporate Announcements",10.1093/rfs/hhy005,"Finds evidence of informed trading around merger bids, dividend initiations, SEOs and quarterly earnings; some announcement news is incorporated pre-event.","Supports information-diffusion mechanism across corporate event families and motivates cross-family comparison.",N/A,REVIEWED
M&A announcement,academic primary,"Lowry; Rossi; Zhu — Informed Trading by Advisor Banks: Evidence from Options Holdings",10.1093/rfs/hhy072,"Finds significant advisor-bank options trading ahead of merger announcements but not similar stock trading.","M&A has a strong information-asymmetry mechanism, but ex-ante PM contract creation may occur only after rumors and must be audited.","Official Polymarket acquisition category currently contains acquisition/announcement markets with heterogeneous liquidity.",REVIEWED
M&A completion,academic primary,"Giglio & Shue — No News Is News: Do Markets Underreact to Nothing?",10.1093/rfs/hhu052,"After merger announcement, passage of time contains information about completion probability and predicts returns.","Deal-completion contracts offer a cleaner ex-ante contractable uncertainty with direct target-equity payoff mapping than secret-announcement events.","Official Polymarket currently lists deal-close markets such as Paramount/WBD completion.",REVIEWED
FDA approval/advisory,academic primary,"Wu; Borochin; Golec — Informed options trading before FDA drug advisory meetings",10.1016/j.jcorpfin.2023.102495,"Reports abnormal options trading before FDA advisory meetings; experts receive nonpublic technical reports before public release.","Strong information-asymmetry mechanism and concentrated single-name impact; requires enough early PM contracts/liquidity.","Official Polymarket FDA approval example found for Merck Doravirine/Islatravir; example volume only $832, so sample/liquidity breadth remains unresolved.",REVIEWED_PARTIAL
Antitrust/regulatory,mechanism candidate,"Wave-1 research pending",PENDING,"Discrete regulatory outcomes may map strongly to corporate assets but need primary literature and historical PM census.","Potential M&A/regulatory branch of ARGOS.",PENDING,PENDING
Litigation/legal,mechanism candidate,"Wave-1 research pending",PENDING,"Potential heterogeneous legal information and binary resolution; objective mapping varies by case.","Could create event-driven single-name opportunities if contractability and resolution are strong.",PENDING,PENDING
Macro/Fed/CPI,academic/market candidate,"Wave-1 research pending",PENDING,"Prediction markets are highly contractable for macro outcomes but single-name information asymmetry may be lower and asset transmission more diffuse.","Useful comparison family, not assumed winner.",PENDING,PENDING
